"name","description","rating","prep_timedone"
"Sorbet fraise-basilic par Laurent Mariotte","Ingrédients : fraises parfumées (ciflorette, charlotte…),basilic frais,sucre de canne,jus de citron.La veille, préparez un sirop : portez le sucre et 10 cl d’eau à ébullition avec...","0","15 min","false"
"'The' tarte aux fraises","Ingrédients : farine,beurre,sucre,jaune d'oeuf,eau,sel,lait,oeuf,farine,sucre,sucre vanillé,fraises (ou plus ;).PÂTE: ...","4.7","35 min","false"
